,Unnamed: 0,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
386,LMOD2,329.27634009770196,3.2715967139842403,0.899572816737561,3.6368336760654802,0.00027601002648538,0.0358294231015131
130,SYK,499.112661022704,3.27453248847624,0.782778077286472,4.18321946346214,2.87409694741958e-05,0.0110612466931977
478,DVL2,812.0961694826599,3.2747269127424,0.9259572692592349,3.53658534951854,0.000405335507170127,0.0425483812860567
384,SPINK13,303.36198209676604,3.2792207595457,0.900458088654618,3.6417250295849,0.00027081725226033504,0.0353687331451997
333,CHCHD3P1,367.63407122777494,3.2830703848667597,0.8840670513799491,3.71359884947887,0.000204332599929452,0.0307606211289006
468,PGAM5,473.438059391688,3.28536448397085,0.9268630774115959,3.5446060632232004,0.00039320027127448103,0.0421709138146338
290,TMTC2,440.969457159523,3.2876224135792405,0.866812191620934,3.7927736196596498,0.000148973956776986,0.0256814746729908
288,DPY19L3,478.03675097752296,3.29080836720483,0.86555763383222,3.80195175754492,0.000143560685005801,0.0250097480238588
204,KDELC1P1,194.994771538656,3.2995625835824196,0.8347097341812679,3.95294609427171,7.71948324538769e-05,0.0186913655972223
181,IL36B,441.551219568863,3.3051387038863798,0.8208966140686279,4.02625452126675,5.66723445630308e-05,0.0155712686173429
306,EDAR,288.721543855385,3.30596403220948,0.876395972880889,3.77222640736483,0.000161797337223842,0.0264994524851857
498,SLC25A1P2,190.09477011330398,3.30681150466679,0.9415274875115269,3.51217733792005,0.0004444513239199,0.0446057026307714
284,LINC01307,602.4571283399961,3.31092164459423,0.8694935408508749,3.80787376678406,0.00014016678791273202,0.0247288640808424
209,PDHA1,547.847976855157,3.3133025484460097,0.838705828251438,3.9504942458235894,7.79899730296618e-05,0.0186913655972223
331,NCAPH,334.741969856871,3.31422309156672,0.8918215335744409,3.71624026421883,0.00020220930594166598,0.0306243557591955
81,HEYL,391.450254901875,3.3171043819172503,0.7609674558798181,4.35906208115308,1.3062105743034698e-05,0.0077446398707586095
470,GJA8,467.422015820365,3.31797355123661,0.9367029662976558,3.5421832433722202,0.00039682970271358596,0.042183920258227994
166,DUSP18,451.849352886975,3.3217117740940396,0.811664626318195,4.09246832544829,4.26805558866588e-05,0.0136129920651808
